ID,Gender,Ever_Married,Graduated,Profession,Spending_Score,Family_Size,Var_1,Segmentation,Age_outlier,Family_Size_outlier,Work_Experience_outlier,Age_Bin,Work_Experience_Bin
462809,1,0,0,Healthcare,Low,4,Cat_4,D,False,False,False,18-34,0-2
462643,0,1,1,Engineer,Average,3,Cat_4,A,False,False,False,35-49,0-2
466315,0,1,1,Engineer,Low,1,Cat_6,B,False,False,False,65+,0-2
461735,1,1,1,Lawyer,High,2,Cat_6,B,False,False,False,65+,
462669,0,1,1,Entertainment,High,6,Cat_6,A,False,False,False,35-49,0-2
461319,1,1,0,Artist,Average,2,Cat_6,C,False,False,False,50-64,
460156,1,0,1,Healthcare,Low,3,Cat_6,C,False,False,False,18-34,0-2
464347,0,0,1,Healthcare,Low,3,Cat_6,D,False,False,False,18-34,0-2
465015,0,1,1,Engineer,Low,3,Cat_7,D,False,False,False,50-64,
465176,0,1,1,Artist,Average,4,Cat_6,C,False,False,False,50-64,0-2
464041,0,0,1,Engineer,Low,3,Cat_6,A,False,False,False,18-34,0-2
464942,1,0,0,Healthcare,Low,4,Cat_4,D,False,False,False,18-34,3-5
461230,0,0,0,Executive,Low,2,Cat_3,D,False,False,False,18-34,
459573,1,1,0,Lawyer,Low,1,Cat_6,A,False,False,False,65+,0-2
460849,0,1,0,Doctor,Low,1,Cat_3,B,False,False,False,50-64,
460563,0,0,0,Healthcare,Low,2,Cat_1,C,False,False,False,35-49,0-2
461644,1,0,0,Healthcare,Low,6,Cat_6,B,False,False,False,18-34,0-2
466772,1,1,1,Entertainment,Average,4,Cat_6,B,False,False,False,50-64,0-2
464291,0,1,1,Artist,High,1,Cat_6,C,False,False,False,65+,
459675,0,0,0,Healthcare,Low,4,Cat_6,D,False,False,False,,0-2
459168,0,0,1,Artist,Low,2,Cat_6,B,False,False,False,35-49,3-5
461021,0,1,0,Executive,Average,3,Cat_3,B,False,False,False,50-64,0-2
465083,1,1,0,Artist,Average,3,Cat_6,C,False,False,False,50-64,0-2
459717,1,1,1,Artist,Average,3,Cat_6,C,False,False,False,35-49,0-2
465882,1,0,1,Artist,Low,1,Cat_6,B,False,False,False,18-34,
461996,0,0,0,Artist,Low,4,Cat_6,C,False,False,False,18-34,3-5
463331,0,1,1,Artist,Low,3,Cat_6,C,False,False,False,35-49,
462216,0,1,0,Doctor,Low,2,Cat_4,A,False,False,False,35-49,0-2
462454,1,0,0,Healthcare,Low,3,Cat_2,D,False,False,False,18-34,0-2
459861,0,1,0,Lawyer,High,2,Cat_6,D,False,False,False,65+,0-2
467917,0,0,1,Healthcare,Low,4,Cat_1,D,False,False,False,18-34,0-2
465572,1,0,0,Doctor,Low,1,Cat_4,D,False,False,False,18-34,3-5
460593,0,1,0,Healthcare,Average,5,Cat_3,D,False,False,False,18-34,0-2
467442,1,1,1,Artist,Average,2,Cat_6,C,False,False,False,50-64,0-2
462044,0,0,1,Artist,Low,1,Cat_6,B,False,False,False,35-49,3-5
465686,0,0,0,Healthcare,Low,2,Cat_6,D,False,False,False,18-34,
466006,0,1,1,Artist,Low,2,Cat_6,C,False,False,False,35-49,0-2
463156,0,1,0,Lawyer,High,2,Cat_6,A,False,False,False,65+,0-2
465729,1,1,1,Artist,Average,4,Cat_4,B,False,False,False,35-49,
462384,0,0,1,Healthcare,Low,1,Cat_7,A,False,False,False,18-34,0-2
462442,1,0,0,Healthcare,Low,4,Cat_6,D,False,False,False,18-34,
464191,0,0,1,Engineer,Low,1,Cat_6,A,False,False,False,35-49,0-2
462078,0,1,0,Artist,Average,2,Cat_2,B,False,False,False,50-64,0-2
467873,0,1,1,Artist,Average,2,Cat_6,C,False,False,False,35-49,0-2
461270,1,1,1,Artist,Low,1,Cat_3,A,False,False,False,35-49,0-2
462960,0,1,1,Entertainment,Average,2,Cat_6,C,False,False,False,50-64,
464961,1,1,0,Marketing,Low,1,Cat_4,A,False,False,False,65+,0-2
465269,0,1,1,Artist,Average,3,Cat_3,C,False,False,False,35-49,0-2
